"name","Role","Team"
"Abhishek Sharma","all-rounder","SRH"
"Mayank Markande","bowler","SRH"
"Sanvir Singh","all-rounder","SRH"
"Shahbaz Ahmed","all-rounder","SRH"
"Akash Singh","bowler","SRH"
"Abdul Samad","all-rounder","SRH"
"Nitish Kumar Reddy","wk/batsman","SRH"
"Umran Malik","bowler","SRH"
"Bhuvneshwar Kumar","bowler","SRH"
"Jaydev Unadkat","bowler","SRH"
"Mayank Agarwal","batsman","SRH"
"Heinrich Klaasen","wk/batsman","SRH"
"Rahul Tripathi","batsman","SRH"
"Pat Cummins","all-rounder","SRH"
"Travis Head","batsman","SRH"
"Aiden Markram","batsman","SRH"
"Marco Jansen","all-rounder","SRH"
"Washington Sundar","all-rounder","SRH"
"Upendra Yadav","wk/batsman","SRH"
"Wanindu Hasaranga","all-rounder","SRH"
"T Natarajan","bowler","SRH"
"Glenn Phillips","wk/batsman","SRH"
"Anmolpreet Singh","batsman","SRH"
"Jhathavedh Subramanyan","bowler","SRH"
"Fazalhaq Farooqi","bowler","SRH"
