"name","Role","Team"
"Riyan Parag","all-rounder","RR"
"Yashasvi Jaiswal","all-rounder","RR"
"Kuldeep Sen","bowler","RR"
"Dhruv Jurel","wk/batsman","RR"
"Abid Mushtaq","all-rounder","RR"
"Shubham Dubey","batsman","RR"
"Kunal Singh Rathore","wk/batsman","RR"
"R Ashwin","all-rounder","RR"
"Trent Boult","bowler","RR"
"Jos Buttler","wk/batsman","RR"
"Adam Zampa","bowler","RR"
"Sanju Samson","wk/batsman","RR"
"Yuzvendra Chahal","bowler","RR"
"Sandeep Sharma","bowler","RR"
"Tom Kohler-Cadmore","wk/batsman","RR"
"Shimron Hetmyer","batsman","RR"
"Avesh Khan","bowler","RR"
"Donovan Ferreira","wk/batsman","RR"
"Navdeep Saini","bowler","RR"
"Rovman Powell","batsman","RR"
"Prasidh Krishna","bowler","RR"
"Nandre Burger","bowler","RR"
