"name","Role","Team"
"Manoj Bhandage","all-rounder","RCB"
"Cameron Green","all-rounder","RCB"
"Suyash Prabhudessai","all-rounder","RCB"
"Anuj Rawat","wk/batsman","RCB"
"Yash Dayal","bowler","RCB"
"Akash Deep","bowler","RCB"
"Saurav Chauhan","batsman","RCB"
"Rajan Kumar","bowler","RCB"
"Himanshu Sharma","bowler","RCB"
"Swapnil Singh","all-rounder","RCB"
"Virat Kohli","batsman","RCB"
"Dinesh Karthik","wk/batsman","RCB"
"Karn Sharma","bowler","RCB"
"Glenn Maxwell","all-rounder","RCB"
"Faf du Plessis","batsman","RCB"
"Reece Topley","bowler","RCB"
"Lockie Ferguson","bowler","RCB"
"Tom Curran","all-rounder","RCB"
"Alzarri Joseph","bowler","RCB"
"Vyshak Vijaykumar","bowler","RCB"
"Rajat Patidar","batsman","RCB"
"Mahipal Lomror","all-rounder","RCB"
"Will Jacks","batsman","RCB"
"Mohammed Siraj","bowler","RCB"
"Mayank Dagar","all-rounder","RCB"
